bairro_origem,bairro_destino,logradouro,observacao,peso
Gracas,Tamarineira,Rua Coronel Uriel Sérgio Cardim,,2.31
Sancho,Toto,Rua Serrinha,,2.12
Corrego Do Jenipapo,Brejo Da Guabiraba,Rua Umirim,,2.1
Sitio Dos Pintos,Dois Irmaos,1ª Travessa Barão do Capibaribe,,2.31
Apipucos,Macaxeira,Rua Dolcinópolis,,2.16
Passarinho,Brejo Da Guabiraba,Rua N S da Piedade,,2.18
Imbiribeira,Pina,Rua São José,,2.12
Boa Viagem,Jordao,Giradouro Felipe Camarão,,2.24
Alto Jose Do Pinho,Casa Amarela,Rua Arnoldo Magalhães,,2.21
Santo Antonio,Santo Amaro,Rua da Aurora,,2.13
Campo Grande,Peixinhos,Avenida Correia de Brito,,1.24
Arruda,Fundao,Rua do Machado,,2.14
Jardim Sao Paulo,Areias,Avenida São Paulo,,1.17
Paissandu,Coelhos,Rua Prefeito Jorge Martins,,2.26
Santo Antonio,Soledade,Avenida Conde da Boa Vista,,1.26
Tamarineira,Monteiro,Estrada do Arraial,,1.68
Recife,Santo Amaro,Rua Dr Ascânio Peixoto,,2.22
Beberibe,Dois Unidos,Avenida Hildebrando de Vasconcelos,,1.34
Fundao,Bomba Do Hemeterio,Rua São Sebastião,,2.17
Dois Irmaos,Guabiraba,Estrada dos Macacos,,1.69
Caxanga,Apipucos,Avenida da Recuperação,,1.22
Alto Jose Do Pinho,Bomba Do Hemeterio,Rua das Hortas,,2.14
Santo Amaro,Torreao,Avenida Dr Jayme da Fonte,,1.25
Curado,Varzea,Rua Historiador Luiz do Nascimento,,2.34
Cohab,Barro,Avenida Engenho Muribeca,,1.24
Afogados,Ilha Joana Bezerra,Rua Crisópolis,,2.14
Boa Vista,Espinheiro,Rua Dr Leopoldo Lins,,2.2
Brasilia Teimosa,Recife,Dique do Recife,,2.15
Pau-Ferro,Guabiraba,Estrada do Orfanato,,1.69
Alto Santa Teresinha,Arruda,Rua Bomba do Hemerério,,2.22
Santo Antonio,Recife,Ponte Buarque de Macedo,,3.21
Sao Jose,Recife,Ponte Giratória,,2.68
Sao Jose,Coelhos,Ponte Seis de Março,,3.22
Campo Grande,Peixinhos,Ponte Correia de Brito,,2.69
Ilha Joana Bezerra,Paissandu,Ponte José de Barros lima,,3.16
Jaqueira,Santana,Ponte do Vintém,,2.22
Ilha Joana Bezerra,Coelhos,Ponte Joaquim Cardoso,,3.17
Recife,Santo Amaro,Ponte do Limoeiro,,2.72
Cabanga,Pina,Ponte Governador Paulo Guerra,,3.18
Afogados,Sao Jose,Ponte de Afogados,,3.15
Ilha Do Retiro,Paissandu,Ponte Prefeito Lima de Castro,,2.46
