bairro_origem,bairro_destino,logradouro,observacao,peso 
Aflitos,Parnamirim,r.da_angustura+r.rosarinho+av.dezessete_de_agosto,r=rua;av=avenida,5.0
Aflitos,Poço,r.da_angustura+r.joao_de_barros+r.do_arraial+av.dezessete_de_agosto,r=rua;av=avenida,6.0
Aflitos,Santana,"r.da_angustura+r.joao_de_barros+r.do_arraial+av.dezessete_de_agosto
",r=rua;av=avenida,6.0
Aflitos,Sítio dos Pintos,r.da_angustura+r.rosarinho+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,5.0
Aflitos,Tamarineira,r.da_angustura+r.joao_de_barros+r.do_arraiál+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,6.0
Alto do Mandu,Apipucos,r.mandacaru+r.de_apipucos,r=rua,4.0
Alto do Mandu,Casa Amarela,r.pedro_de_barros+r.da_harmonia,r=rua,4.0
Alto do Mandu,Casa Forte,r.mandacaru+r.de_apipucos+av.dezessete_de_agosto,r=rua;av=avenida,5.0
Alto do Mandu,Derby,r.pedro_de_barros+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,3.0
Alto do Mandu,Dois Irmãos,r.mandacaru+r.dois_irmaos,r=rua,4.0
Alto do Mandu,Espinheiro,r.pedro_de_barros+r.da_harmonia+r.domingos_ferreira+av.conselheiro_rosa_e_silva,r=rua;av=avenida,7.0
Alto do Mandu,Graças,r.mandacaru+r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,r=rua;av=avenida,6.0
Alto do Mandu,Jaqueira,r.pedro_de_barros+r.da_harmonia+r.conselheiro_aguiar+r.do_futuro,r=rua,8.0
Alto do Mandu,Monteiro,r.mandacaru+r.de_apipucos+r.da_hora,r=rua,6.0
Alto do Mandu,Parnamirim,r.pedro_de_barros+r.da_harmonia+r.conselheiro_aguiar+av.dezessete_de_agosto,r=rua;av=avenida,7.0
Alto do Mandu,Poço,r.mandacaru+r.de_apipucos+av.dezessete_de_agosto,r=rua;av=avenida,5.0
Alto do Mandu,Santana,r.mandacaru+r.de_apipucos+av.dezessete_de_agosto+av.joao_de_barros,r=rua;av=avenida,6.0
Alto do Mandu,Sítio dos Pintos,r.dois_irmaos,r=rua ,2.0
Alto do Mandu,Tamarineira,r.pedro_de_barros+r.da_harmonia+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,5.0
Apipucos,Casa Amarela,r.mandacaru+r.padre_lemos,r=rua ,4.0
Apipucos,Casa Forte,r.de_apipucos+av.dezessete_de_agosto,r=rua;av=avenida,3.0
Apipucos,Derby,r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,r=rua;av=avenida,4.0
Apipucos,Dois Irmãos,r.de_apipucos+r.dois_irmaos,r=rua ,4.0
Apipucos,Espinheiro,r.mandacaru+r.padre_lemos+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,5.0
Apipucos,Graças,r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,r=rua;av=avenida,4.0
Apipucos,Jaqueira,r.de_apipucos+estr.do_encanamento,r=rua; est=estrada,3.5
Apipucos,Monteiro,r.de_apipucos,r=rua,2.0
Apipucos,Parnamirim,r.de_apipucos+estr.do_encanamento,r=rua; est=estrada,3.5
Apipucos,Poço,r.de_apipucos+av.dezessete_de_agosto,r=rua;av=avenida,3.0
Apipucos,Santana,r.de_apipucos+av.dezessete_de_agosto,r=rua;av=avenida,3.0
Apipucos,Sítio dos Pintos,r.dois_irmaos+r.manuel_de_medeiros+estr.dos_pintos,r=rua; est=estrada,5.5
Apipucos,Tamarineira,r.pedro_de_barros+r.da_harmonia+av.norte_miguel_arraes_de_alencar,r=rua;av=avenida,5.0
Casa Amarela,Casa Forte,estr.do_arraial+estr.do_encanamento,est=estrada,3.0
Casa Amarela,Derby,r.da_harmonia+av.rui_barbosa,r=rua;av=avenida,3.0
Casa Amarela,Dois Irmãos,estr.do_arraial+r.de_apipucos+r.dois_irmaos,est=estrada; r=rua,5.5
Casa Amarela,Espinheiro,av.norte_miguel_arraes_de_alencar,av=avenida,1.0
Casa Amarela,Graças,estr.do_encanamento+av.rui_barbosa,est=estrada;  av= avenida,2.5
Casa Amarela,Jaqueira,r.da_harmonia+r.conselheiro_aguiar+r.do_futuro,r=rua ,6.0
Casa Amarela,Monteiro,estr.do_arraial+r.de_apipucos+r.dois_irmaos,est=estrada; r=rua,5.5
Casa Amarela,Parnamirim,estr.do_encanamento+av.rui_barbosa,est=estrada;  av= avenida,2.5
Casa Amarela,Poço,estr.do_arraial+r.pedro_de_barros+r.da_harmonia,est=estrada; r=rua,5.5
Casa Amarela,Santana,r.da_harmonia+r.conselheiro_aguiar+r.do_futuro+av.dezessete_de_agosto,r=rua;av=avenida,8.0
